지점,지점명,일시,기온(°C),풍속(m/s),풍향(16방위),습도(%),증기압(hPa),현지기압(hPa),일조(hr),일사(MJ/m2),전운량(10분위),중하층운량(10분위),최저운고(100m ),지면온도(°C),5cm 지중온도(°C)
119,수원,2020-01-01 01:00,-6.3,2.4,160,74,2.8,1028.6,,,9,9,10,-3.8,
119,수원,2020-01-01 02:00,-6.2,1.6,140,70,2.7,1028.2,,,6,6,10,-4.2,
119,수원,2020-01-01 03:00,-5.8,1.6,160,65,2.6,1028.3,,,7,7,8,-4.1,
119,수원,2020-01-01 04:00,-5.4,1.3,160,64,2.6,1028.3,,,9,9,5,-3.5,
119,수원,2020-01-01 05:00,-5.1,1,160,67,2.8,1027.6,,,9,9,10,-3.3,
119,수원,2020-01-01 06:00,-4.9,2,140,68,2.9,1027.7,,,9,9,13,-3.1,
119,수원,2020-01-01 07:00,-4.7,1.9,140,70,3,1028,,,9,9,11,-2.9,
119,수원,2020-01-01 08:00,-4.5,1.6,140,75,3.3,1028.1,0,0,9,9,6,-2.8,
119,수원,2020-01-01 09:00,-3.9,1.2,160,79,3.6,1028.5,0,.02,9,9,6,-2,
119,수원,2020-01-01 10:00,-3.5,1.5,160,82,3.9,1028.9,0,.18,9,9,5,-1.2,
119,수원,2020-01-01 11:00,-3,1.5,140,83,4.1,1028.6,0,.24,9,9,4,-.7,
119,수원,2020-01-01 12:00,-2.5,1.4,70,79,4,1027.8,0,.38,9,9,4,-.2,
119,수원,2020-01-01 13:00,-1.5,1.7,140,80,4.4,1027,0,.73,9,9,5,.6,
119,수원,2020-01-01 14:00,-.5,1.1,140,79,4.6,1026.7,0,.75,9,9,7,.7,
119,수원,2020-01-01 15:00,0,1.2,160,79,4.8,1026.8,0,.52,9,9,13,.2,
119,수원,2020-01-01 16:00,.2,1.2,160,80,5,1027.2,0,.34,8,8,14,0,
119,수원,2020-01-01 17:00,.1,.7,180,85,5.2,1027.2,0,.11,9,9,13,-.3,
